,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1122,0.05330880482991537,0.0004551310274755156,0.003325303395589193,0.0004762576608537008,entropy,28,20,130,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 130, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1123,0.07395275433858235,8.017704833438613e-06,0.004996299743652344,0.0008301615097916466,entropy,28,20,130,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 130, 'n_estimators': 70}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1124,0.09594567616780598,0.0014132119418769026,0.005663553873697917,0.0004704712612517074,entropy,28,20,130,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 130, 'n_estimators': 90}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1125,0.011660416920979818,0.00047101947508253677,0.0009995301564534504,2.9736021254650284e-07,entropy,28,40,50,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 50, 'n_estimators': 10}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1126,0.03131564458211263,0.0004713142484024804,0.002332290013631185,0.0004713142484024804,entropy,28,40,50,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 50, 'n_estimators': 30}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1127,0.054629882176717125,0.00048040621262748854,0.003664414087931315,0.0004713141679983425,entropy,28,40,50,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 50, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1128,0.08327968915303548,0.007399756118881728,0.004664421081542969,0.0009424035327035905,entropy,28,40,50,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 50, 'n_estimators': 70}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1129,0.09627866744995117,0.0018726826246318233,0.005996545155843099,8.778064264605254e-07,entropy,28,40,50,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 50, 'n_estimators': 90}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
1130,0.012991905212402344,0.0028395284230733693,0.0009995301564534504,2.9736021254650284e-07,entropy,28,40,70,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 70, 'n_estimators': 10}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7155688622754491,0.7149994305682928,0.0004026490215528429
1131,0.031659603118896484,0.0004791253738718434,0.0023326873779296875,0.0004718761259665186,entropy,28,40,70,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 40, 'min_samples_split': 70, 'n_estimators': 30}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
